Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Brown, Sterling",SG,10.8,"$3,500",mil,orl,home, 111-100,7:18,   6pt 4rb 2-5fg 2-2ft,6,4,0,0,0,0,0
"Goodwin, Brandon",PG,10.7,"$3,500",atl,chi,away, 81-116,12:24,   5pt 1rb 1as 1bl 1trey 2-5fg,5,1,1,0,1,0,1
"Wanamaker, Brad",PG,10.6,"$3,500",bos,tor,home, 97-113,14:24,   2pt 3rb 1st 1bl 1to 0-3fg 2-2ft,2,3,0,1,1,1,0
"Brooks, Dillon",SG,10.3,"$5,000",mem,den,away, 110-119,29:19,   7pt 4rb 1as 1st 6to 1trey 2-10fg 2-3ft,7,4,1,1,0,6,1
"Huerter, Kevin",SG,10.2,"$5,300",atl,chi,away, 81-116,29:45,   6pt 1rb 4as 3to 2-12fg 2-2ft,6,1,4,0,0,3,0
"McLemore, Ben",SG,10.1,"$3,800",hou,bkn,home, 108-98,24:59,   3pt 3rb 1as 1st 1to 1trey 1-7fg,3,3,1,1,0,1,1
"Bradley, Avery",SG,9.9,"$3,500",lal,por,away, 128-120,17:58,   8pt 2rb 1as 2to 4-9fg,8,2,1,0,0,2,0
"Matthews, Wes",SG,9.9,"$3,900",mil,orl,home, 111-100,20:48,   5pt 2rb 1as 1st 2to 2-3fg 1-3ft,5,2,1,1,0,2,0
"Allen, Grayson",SG,9.4,"$3,500",mem,den,away, 110-119,13:54,   6pt 2rb 2as 2to 2trey 2-6fg,6,2,2,0,0,2,2
"Snell, Tony",SG,8.7,"$3,500",det,sas,away, 109-136,19:29,   3pt 1rb 1as 1st 1trey 1-4fg,3,1,1,1,0,0,1
"McGruder, Rodney",SG,8.4,"$3,600",lac,uta,home, 107-120,11:46,   3pt 2rb 1st 1trey 1-2fg,3,2,0,1,0,0,1
"Walker, Lonnie",SG,8.2,"$3,500",sas,det,home, 136-109,16:15,   8pt 1rb 1to 4-8fg,8,1,0,0,0,1,0
"Graham, Treveon",SG,7.7,"$3,500",min,cle,home, 88-94,24:45,   3pt 1rb 1as 1st 1to 1-3fg 1-1ft,3,1,1,1,0,1,0
"Mykhailiuk, Sviatoslav",SG,7.2,"$4,000",det,sas,away, 109-136,13:46,   5pt 1rb 1st 2to 1trey 2-4fg,5,1,0,1,0,2,1
"Morris, Monte",PG,6.9,"$4,000",den,mem,home, 119-110,14:53,   3pt 2rb 1as 1trey 1-3fg,3,2,1,0,0,0,1
"Jackson, Frank",PG,6.7,"$3,500",nor,ind,home, 120-98,9:25,   4pt 1rb 1as 2-3fg,4,1,1,0,0,0,0
"Alexander-Walker, Nickeil",SG,6.2,"$3,500",nor,ind,home, 120-98,4:08,   5pt 1rb 1trey 2-2fg,5,1,0,0,0,0,1
"Brunson, Jalen",PG,6.2,"$4,600",dal,gsw,away, 141-121,11:36,   2pt 1rb 2as 1-2fg,2,1,2,0,0,0,0
"Trent Jr., Gary",SG,6,"$3,500",por,lal,home, 120-128,8:43,   3pt 1st 1trey 1-1fg,3,0,0,1,0,0,1
"Green, Danny",SG,5.4,"$3,900",lal,por,away, 128-120,19:18,   3pt 2rb 1trey 1-6fg,3,2,0,0,0,0,1
"Evans III, Jacob",SG,5.1,"$3,500",gsw,dal,home, 121-141,15:42,   4pt 3rb 1as 4to 2-6fg,4,3,1,0,0,4,0
"Sumner, Edmond",PG,4.2,"$3,500",ind,nor,away, 98-120,7:59,   0pt 1rb 1st 0-4fg,0,1,0,1,0,0,0
"Carter, Jevon",PG,3.2,"$3,600",pho,sac,away, 112-110,4:45,   2pt 1rb 1-1fg,2,1,0,0,0,0,0
"Mokoka, Adam",SG,2.4,"$3,500",chi,atl,home, 116-81,3:22,   0pt 2rb 0-2fg,0,2,0,0,0,0,0
"Magette, Josh",PG,2,"$3,500",orl,mil,away, 100-111,1:48,   2pt 1-1fg,2,0,0,0,0,0,0
"Turner, Evan",SG,1.7,"$3,500",atl,chi,away, 81-116,4:17,   0pt 1rb 1as 1to 0-1fg,0,1,1,0,0,1,0
"Mathews, Garrison",SG,1.2,"$3,500",was,nyk,home, 100-107,8:49,   0pt 1rb 0-2fg,0,1,0,0,0,0,0
