Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Barnes, Harrison",SF,14.1,"$5,900",dal,cha,home, 99-93,25:50,   10pt 3rb 1as 1to 2trey 4-13fg,10,3,1,0,0,1,2,4,13,0,0
"Dekker, Sam",SF,13.9,"$3,500",was,mil,away, 129-148,20:57,   12pt 2rb 1as 2to 2trey 5-10fg,12,2,1,0,0,2,2,5,10,0,0
"Holmes, Richaun",PF,13.3,"$3,800",pho,uta,away, 88-116,18:27,   7pt 4rb 1as 3-6fg 1-2ft,7,4,1,0,0,0,0,3,6,1,2
"Barton, Will",SF,13.1,"$5,500",den,bkn,away, 130-135,19:24,   3pt 3rb 3as 1bl 1to 1trey 1-6fg,3,3,3,0,1,1,1,1,6,0,0
"Kurucs, Rodions",PF,12,"$4,100",bkn,den,home, 135-130,17:12,   7pt 1st 1bl 1to 1trey 3-6fg 0-1ft,7,0,0,1,1,1,1,3,6,0,1
"Jerebko, Jonas",PF,11.9,"$3,500",gsw,sas,home, 141-102,14:04,   8pt 2rb 1as 2trey 3-5fg,8,2,1,0,0,0,2,3,5,0,0
"Labissiere, Skal",PF,11.3,"$3,500",sac,hou,home, 101-127,12:00,   3pt 4rb 1as 1bl 1to 1trey 1-3fg,3,4,1,0,1,1,1,1,3,0,0
"Metu, Chimezie",PF,11,"$3,500",sas,gsw,away, 102-141,13:24,   2pt 5rb 2as 1-3fg,2,5,2,0,0,0,0,1,3,0,0
"Nowitzki, Dirk",PF,11,"$3,500",dal,cha,home, 99-93,14:33,   8pt 1bl 2trey 3-5fg,8,0,0,0,1,0,2,3,5,0,0
"McKinnie, Alfonzo",SF,10.5,"$3,500",gsw,sas,home, 141-102,14:34,   2pt 5rb 3as 2to 1-3fg,2,5,3,0,0,2,0,1,3,0,0
"Derrickson, Marcus",PF,9.9,"$3,500",gsw,sas,home, 141-102,8:47,   6pt 2rb 1as 2trey 2-4fg,6,2,1,0,0,0,2,2,4,0,0
"Kidd-Gilchrist, Michael",SF,7.1,"$3,800",cha,dal,away, 93-99,13:28,   0pt 3rb 1as 1bl 1to 0-4fg,0,3,1,0,1,1,0,0,4,0,0
"Bender, Dragan",PF,6,"$4,300",pho,uta,away, 88-116,13:51,   0pt 5rb 0-1fg,0,5,0,0,0,0,0,0,1,0,0
"Niang, Georges",PF,4.2,"$3,500",uta,pho,home, 116-88,5:59,   3pt 1rb 1-1fg 1-2ft,3,1,0,0,0,0,0,1,1,1,2
"Jenkins, John",SF,3,"$3,500",was,mil,away, 129-148,6:53,   3pt 1trey 1-1fg,3,0,0,0,0,0,1,1,1,0,0
"Hartenstein, Isaiah",PF,2.4,"$3,500",hou,sac,away, 127-101,6:46,   0pt 2rb,0,2,0,0,0,0,0,0,0,0,0
"Hernangomez, Juan",SF,1.2,"$3,500",den,bkn,away, 130-135,13:53,   0pt 1rb 0-4fg,0,1,0,0,0,0,0,0,4,0,0
"Cavanaugh, Tyler",PF,0,"$3,500",uta,pho,home, 116-88,1:34,   0pt,0,0,0,0,0,0,0,0,0,0,0
"Wood, Christian",PF,0,"$3,500",mil,was,home, 148-129,2:48,   0pt 0-2fg,0,0,0,0,0,0,0,0,2,0,0
"Broekhoff, Ryan",PF,0,"$3,500",dal,cha,home, 99-93,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Moore, E'Twaun",SF,0,"$4,100",nor,chi,away, 125-120,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Portis, Bobby",PF,0,"$6,800",chi,nor,home, 120-125,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Bacon, Dwayne",SF,0,"$3,500",cha,dal,away, 93-99,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Jackson, Justin",SF,0,"$3,500",sac,hou,home, 101-127,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Chriss, Marquese",PF,0,"$3,500",hou,sac,away, 127-101,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Porter, Otto",SF,0,"$6,900",was,mil,away, 129-148,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Hill, Solomon",SF,0,"$3,500",nor,chi,away, 125-120,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Mirotic, Nikola",SF,0,"$6,400",nor,chi,away, 125-120,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Pinson, Theo",SF,0,"$3,700",bkn,den,home, 135-130,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Kaminsky, Frank",PF,0,"$3,500",cha,dal,away, 93-99,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Johnson, Wesley",SF,0,"$3,500",nor,chi,away, 125-120,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Lydon, Tyler",SF,0,"$3,500",den,bkn,away, 130-135,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Creek, Mitch",SF,0,"$3,600",bkn,den,home, 135-130,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Parker, Jabari",SF,0,"$3,900",chi,nor,home, 120-125,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Clark, Gary",SF,0,"$3,500",hou,sac,away, 127-101,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Antetokounmpo, Kostas",PF,0,"$3,500",dal,cha,home, 99-93,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Robinson, Devin",SF,0,"$3,500",was,mil,away, 129-148,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Musa, Dzanan",SF,0,"$3,500",bkn,den,home, 135-130,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Randolph, Zach",PF,0,"$3,700",sac,hou,home, 101-127,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Davis, Anthony",PF,0,"$13,000",nor,chi,away, 125-120,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Porzingis, Kristaps",PF,0,"$3,500",dal,cha,home, 99-93,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Morris, Markieff",PF,0,"$5,600",was,mil,away, 129-148,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Gabriel, Wenyen",PF,0,"$3,500",sac,hou,home, 101-127,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Warren, T.J.",SF,0,"$6,500",pho,uta,away, 88-116,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Hutchison, Chandler",SF,0,"$4,400",chi,nor,home, 120-125,NA,   ,0,0,0,0,0,0,0,0,0,0,0
