Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Bradley, Avery",SG,12.2,"$3,600",mem,v nor, 99-90,24:46,   8pt 1rb 2as 1st 3to 2trey 3-10fg
"VanVleet, Fred",PG,12.2,"$4,600",tor,@ nyk, 104-99,19:48,   5pt 1rb 6as 3to 1trey 1-5fg 2-2ft
"Knight, Brandon",PG,12,"$3,500",cle,@ ind, 90-105,11:44,   9pt 2as 3trey 3-3fg
"Hill, George",PG,11.7,"$3,700",mil,v orl, 83-103,14:21,   6pt 1rb 1as 1bl 2trey 2-5fg
"Korver, Kyle",SG,11.6,"$3,600",uta,v sas, 125-105,22:27,   5pt 3rb 1st 1trey 2-4fg
"Arcidiacono, Ryan",PG,10.9,"$3,900",chi,v was, 125-134,17:32,   4pt 2rb 3as 1-5fg 2-2ft
"Trier, Allonzo",SG,10.8,"$3,700",nyk,v tor, 99-104,24:11,   7pt 4rb 1to 1trey 3-7fg
"Dotson, Damyean",SG,10.4,"$3,800",nyk,v tor, 99-104,19:24,   4pt 2rb 2as 1st 2to 2-9fg
"Carter, Jevon",PG,10.4,"$3,500",mem,v nor, 99-90,15:32,   0pt 2rb 2as 2st 1to 0-4fg
"Holiday, Aaron",SG,9.7,"$3,800",ind,v cle, 105-90,14:01,   4pt 1rb 1as 1st 2-8fg
"Monk, Malik",SG,9.4,"$4,100",cha,@ atl, 129-120,10:17,   4pt 2rb 2as 1st 3to 1-4fg 2-2ft
"Graham, Devonte'",PG,9.1,"$3,600",cha,@ atl, 129-120,11:03,   4pt 3rb 1as 1trey 1-4fg 1-2ft
"Frazier, Tim",PG,8.7,"$4,100",nor,@ mem, 90-99,21:00,   5pt 1rb 3as 2to 1trey 1-3fg 2-2ft
"Sampson, Brandon",SG,8.2,"$3,500",chi,v was, 125-134,2:08,   7pt 1rb 1trey 3-3fg
"Connaughton, Pat",SG,8.2,"$3,600",mil,v orl, 83-103,17:18,   7pt 1rb 1trey 3-7fg
"Harrison, Shaquille",PG,6.6,"$4,500",chi,v was, 125-134,13:33,   0pt 3rb 2as 0-5fg
"Duval, Trevon",PG,5.7,"$3,500",mil,v orl, 83-103,4:26,   3pt 1rb 1as 1trey 1-2fg
"Nwaba, David",SG,5.5,"$4,200",cle,@ ind, 90-105,23:28,   5pt 1as 1to 2-5fg 1-2ft
"Burton, Deonte",SG,5.1,"$3,500",okc,@ hou, 117-112,9:33,   0pt 3rb 1as 0-1fg
"Allen, Grayson",SG,5,"$3,500",uta,v sas, 125-105,2:45,   5pt 1trey 1-2fg 2-2ft
"Brown, Sterling",SG,4.6,"$3,500",mil,v orl, 83-103,14:00,   0pt 3rb 2as 2to 0-3fg
"Sumner, Edmond",PG,4.5,"$3,800",ind,v cle, 105-90,14:23,   1pt 1as 1st 1to 0-1fg 1-2ft
"Grant, Jerian",PG,3.7,"$3,600",orl,@ mil, 103-83,3:06,   2pt 1rb 1as 1to 1-2fg
"McRae, Jordan",SG,2.9,"$4,000",was,@ chi, 134-125,9:16,   0pt 2rb 1as 1to 0-3fg
"Wanamaker, Brad",PG,2,"$3,500",bos,v lac, 112-123,5:37,   2pt 1-1fg
"Pondexter, Quincy",SG,1.5,"$3,500",sas,@ uta, 105-125,3:20,   0pt 1as
"Clark, Ian",SG,1,"$3,500",nor,@ mem, 90-99,5:28,   2pt 1to 1-3fg
"Robinson, Jerome",PG,0.2,"$3,500",lac,@ bos, 123-112,7:39,   0pt 1rb 1to 0-1fg
"Wallace, Tyrone",SG,0,"$3,500",lac,@ bos, 123-112,4:10,   0pt 0-1fg
"Anderson, Justin",SG,0,"$3,500",atl,v cha, 120-129,00:18,   0pt
"Thornwell, Sindarius",SG,0,"$4,000",lac,@ bos, 123-112,00:32,   0pt
"Diallo, Hamidou",SG,0,"$3,500",okc,@ hou, 117-112,DNP,   
"Felton, Raymond",PG,0,"$3,500",okc,@ hou, 117-112,DNP,   
"Loyd, Jordan",PG,0,"$3,500",tor,@ nyk, 104-99,DNP,   
"Dorsey, Tyler",SG,0,"$3,500",mem,v nor, 99-90,DNP,   
"Chealey, Joe",PG,0,"$3,500",cha,@ atl, 129-120,NA,   
"Ntilikina, Frank",PG,0,"$4,000",nyk,v tor, 99-104,NA,   
"Murray, Dejounte",PG,0,"$3,500",sas,@ uta, 105-125,NA,   
"Blakeney, Antonio",SG,0,"$3,700",chi,v was, 125-134,NA,   
"White, Derrick",PG,0,"$6,100",sas,@ uta, 105-125,NA,   
"Reed, Davon",SG,0,"$3,500",ind,v cle, 105-90,NA,   
"Roberson, Andre",SG,0,"$3,500",okc,@ hou, 117-112,NA,   
"Wall, John",PG,0,"$3,500",was,@ chi, 134-125,NA,   
"Fultz, Markelle",SG,0,"$3,500",orl,@ mil, 103-83,NA,   
"Alkins, Rawle",SG,0,"$3,500",chi,v was, 125-134,NA,   
"Walker, Lonnie",SG,0,"$3,500",sas,@ uta, 105-125,NA,   
"Smith, J.R.",SG,0,"$3,500",cle,@ ind, 90-105,NA,   
"Mitrou-Long, Nazareth",SG,0,"$3,500",uta,v sas, 125-105,NA,   
"Bluiett, Trevon",SG,0,"$3,500",nor,@ mem, 90-99,NA,   
"Caupain, Troy",PG,0,"$3,500",orl,@ mil, 103-83,NA,   
"Payton, Elfrid",PG,0,"$5,800",nor,@ mem, 90-99,NA,   
"Dozier, PJ",SG,0,"$3,500",bos,v lac, 112-123,NA,   
"Brooks, Dillon",SG,0,"$3,800",mem,v nor, 99-90,NA,   
"Macura, J.P.",SG,0,"$3,500",cha,@ atl, 129-120,NA,   
"Mudiay, Emmanuel",PG,0,"$5,000",nyk,v tor, 99-104,NA,   
"Exum, Dante",PG,0,"$3,500",uta,v sas, 125-105,NA,   
"DiVincenzo, Donte",SG,0,"$3,500",mil,v orl, 83-103,NA,   
"Adams, Jaylen",SG,0,"$3,500",atl,v cha, 120-129,NA,   
"Hunter, R.J.",SG,0,"$3,500",bos,v lac, 112-123,NA,   
"Parker, Tony",PG,0,"$3,500",cha,@ atl, 129-120,NA,   
